"CENTRAL PARK PRECINCT",9204361
"EIGHTY EIGHTH PRECINCT",12169135
"EIGHTY FIRST PRECINCT",14479715
"EIGHTY FOURTH PRECINCT",17398873
"EIGHTY THIRD PRECINCT",15815079
"FIFITETH PRECINCT",11521760
"FIFTH PRECINCT",10750639
"FIFTY SECOND PRECINCT",16839798
"FIRST PRECINCT",15099450
"FORTIETH PRECINCT",16227623
"FORTY EIGHTH PRECINCT",15668643
"FORTY FIFTH PRECINCT",12519284
"FORTY FOURTH PRECINCT",20228080
"FORTY NINTH PRECINCT",15390583
"FORTY SECOND PRECINCT",14381000
"FORTY SEVENTH PRECINCT",14998779
"FORTY SIXTH PRECINCT",18659842
"FORTY THIRD PRECINCT",17772376
"FOURTY FIRST PRECINCT",13534076
"MIDTOWN NORTH PRECINCT",20669305
"MIDTOWN SOUTH PRECINCT",19845461
"NINETEENTH PRECINCT",16300609
"NINETIETH PRECINCT",13653611
"NINETY FOUFTH PRECINCT",11047272
"NINTH PRECINCT",10992026
"ONE HUNDRED EIGHTH PRECINCT",11345472
"ONE HUNDRED ELEVENTH PRECINCT",11408752
"ONE HUNDRED FIFTH PRECINCT",17776265
"ONE HUNDRED FOURTEENTHPRECINCT",14265439
"ONE HUNDRED FOURTH PRECINCT",12238284
"ONE HUNDRED NINTH PRECINCT",14907295
"ONE HUNDRED ONE PRECINCT",13499601
"ONE HUNDRED SEVENTH PRECINCT",12305258
"ONE HUNDRED SIXTH PRECINT",12372028
"ONE HUNDRED TENTH PRECINCT",14071135
"ONE HUNDRED THIRD PRECINCT",13688459
"ONE HUNDRED THIRTEENTHPRECINCT",14471932
"ONE HUNDRED TWO PRECINCT",12938204
"ONE HUNDRETH PRECINCT",10461525
"ONE TWENTY PRECINCT",23222112
"ONE TWENTY THIRD PRECINCT",10900899
"ONE TWENTY TWO PRECINCT",22862934
"SEVENTEENTH PRECINCT",12390723
"SEVENTH PRECINCT",10771418
"SEVENTIETH PRECINCT",15958829
"SEVENTY EIGHTH PRECINC",10581621
"SEVENTY FIFTH PRECINCT",22425104
"SEVENTY FIRST PRECINCT",13998517
"SEVENTY NINTH PRECINCT",15442648
"SEVENTY SECOND PRECINC",11470851
"SEVENTY SEVENTH PRECINCT",15677340
"SEVENTY THIRD PRECINCT",17395685
"SIXTH PRECINCT",11997395
"SIXTIETH PRECINCT",12157723
"SIXTY EIGHTH PRECINCT",9815396
"SIXTY FIRST PRECINCT",10755955
"SIXTY NINTH PRECINCT",10955787
"SIXTY SECOND PRECINCT",10484909
"SIXTY SEVENTH PRECINCT",15335513
"SIXTY SIXTH PRECINCT",11107209
"SIXTY THIRD PRECINCT",10363643
"TENTH PRECINCT",11069653
"THIRTEENTH PRECINCT",12828411
"THIRTIETH PRECINCT",12781579
"THIRTY FOURTH PRECINCT",28723556
"THIRTY SECOND PRECINCT",14445999
"TWENTIETH PRECINCT",11740998
"TWENTY EIGHTH PRECINCT",14062465
"TWENTY FIFTH PRECINCT",12589181
"TWENTY FOURTH PRECINCT",11027686
"TWENTY SIXTH PRECINCT",10465054
"TWENTY THIRD PRECINCT",13189235
